time	V(ch1)	V(ch2)	V(n001)	V(n003)
Step Information: Rl=10  (Step: 1/46)
1.101867477441754e-02	6.008991e+00	4.695150e+00	5.352071e+00	-6.569206e-01
1.107726852441754e-02	6.241350e+00	4.922956e+00	5.582153e+00	-6.591969e-01
1.113586227441754e-02	6.464740e+00	5.142149e+00	5.803444e+00	-6.612954e-01
1.119445602441754e-02	6.678864e+00	5.352402e+00	6.015633e+00	-6.632308e-01
1.125304977441754e-02	6.883437e+00	5.553406e+00	6.218422e+00	-6.650156e-01
1.131164352441754e-02	7.078187e+00	5.744867e+00	6.411527e+00	-6.666602e-01
1.137023727441754e-02	7.262856e+00	5.926508e+00	6.594682e+00	-6.681741e-01
1.142883102441754e-02	7.437196e+00	6.098066e+00	6.767631e+00	-6.695647e-01
1.148742477441754e-02	7.600976e+00	6.259298e+00	6.930137e+00	-6.708388e-01
1.154601852441754e-02	7.753978e+00	6.409973e+00	7.081975e+00	-6.720023e-01
1.160461227441754e-02	7.895998e+00	6.549878e+00	7.222938e+00	-6.730602e-01
1.166320602441754e-02	8.026847e+00	6.678813e+00	7.352830e+00	-6.740169e-01
1.172179977441754e-02	8.146352e+00	6.796600e+00	7.471476e+00	-6.748760e-01
1.178039352441754e-02	8.254354e+00	6.903071e+00	7.578712e+00	-6.756409e-01
1.183898727441754e-02	8.350708e+00	6.998080e+00	7.674394e+00	-6.763143e-01
1.189758102441754e-02	8.435288e+00	7.081491e+00	7.758390e+00	-6.768986e-01
1.195617477441754e-02	8.507984e+00	7.153192e+00	7.830588e+00	-6.773959e-01
1.201476852441754e-02	8.568697e+00	7.213081e+00	7.890889e+00	-6.778077e-01
1.207336227441754e-02	8.617350e+00	7.261079e+00	7.939214e+00	-6.781356e-01
1.213195602441755e-02	8.653878e+00	7.297117e+00	7.975497e+00	-6.783804e-01
1.219054977441755e-02	8.678235e+00	7.321149e+00	7.999692e+00	-6.785431e-01
1.224914352441755e-02	8.690390e+00	7.333142e+00	8.011766e+00	-6.786241e-01
1.230773727441755e-02	8.690330e+00	7.333083e+00	8.011706e+00	-6.786237e-01
1.236633102441755e-02	8.678056e+00	7.320972e+00	7.999514e+00	-6.785420e-01
1.242492477441755e-02	8.653587e+00	7.296831e+00	7.975209e+00	-6.783786e-01
1.248351852441755e-02	8.616960e+00	7.260694e+00	7.938827e+00	-6.781331e-01
1.254211227441755e-02	8.568226e+00	7.212616e+00	7.890421e+00	-6.778048e-01
1.260070602441755e-02	8.507451e+00	7.152666e+00	7.830059e+00	-6.773925e-01
1.265929977441755e-02	8.434722e+00	7.080932e+00	7.757827e+00	-6.768950e-01
1.271789352441755e-02	8.350138e+00	6.997516e+00	7.673827e+00	-6.763107e-01
1.277648727441755e-02	8.253816e+00	6.902541e+00	7.578178e+00	-6.756375e-01
1.283508102441755e-02	8.145887e+00	6.796141e+00	7.471014e+00	-6.748731e-01
1.289367477441755e-02	8.026501e+00	6.678471e+00	7.352486e+00	-6.740149e-01
1.295226852441755e-02	7.895819e+00	6.549700e+00	7.222760e+00	-6.730595e-01
1.301086227441755e-02	7.754021e+00	6.410015e+00	7.082018e+00	-6.720033e-01
1.306945602441755e-02	7.601299e+00	6.259615e+00	6.930457e+00	-6.708419e-01
1.312804977441755e-02	7.437863e+00	6.098722e+00	6.768292e+00	-6.695706e-01
1.318664352441755e-02	7.263933e+00	5.927566e+00	6.595749e+00	-6.681835e-01
1.324523727441755e-02	7.079747e+00	5.746398e+00	6.413073e+00	-6.666741e-01
1.330383102441756e-02	6.885553e+00	5.555484e+00	6.220519e+00	-6.650346e-01
1.336242477441756e-02	6.681618e+00	5.355105e+00	6.018362e+00	-6.632562e-01
1.342101852441756e-02	6.468215e+00	5.145558e+00	5.806886e+00	-6.613284e-01
1.347961227441756e-02	6.245634e+00	4.927155e+00	5.586395e+00	-6.592391e-01
1.353820602441756e-02	6.014174e+00	4.700227e+00	5.357201e+00	-6.569736e-01
1.359679977441756e-02	5.774151e+00	4.465121e+00	5.119636e+00	-6.545148e-01
