time	V(vb)	V(vc)	V(ve)	V(vin)	V(vout)
8.462497315201741e-04	5.504172e-01	1.108569e+01	4.239699e-04	-8.226415e-01	2.010054e+00
8.511325440201741e-04	5.682449e-01	1.108582e+01	8.287466e-04	-8.048139e-01	2.005740e+00
8.560153565201741e-04	5.868299e-01	1.108468e+01	1.643726e-03	-7.862288e-01	2.000162e+00
8.608981690201741e-04	6.061549e-01	1.108108e+01	3.254112e-03	-7.669038e-01	1.992130e+00
8.657809815201741e-04	6.262017e-01	1.107311e+01	6.268995e-03	-7.468570e-01	1.979762e+00
8.706637940201741e-04	6.469515e-01	1.105851e+01	1.142194e-02	-7.261072e-01	1.960794e+00
8.755466065201741e-04	6.683846e-01	1.103564e+01	1.924004e-02	-7.046741e-01	1.933605e+00
8.804294190201741e-04	6.904809e-01	1.100416e+01	2.982753e-02	-6.825778e-01	1.897884e+00
8.853122315201741e-04	7.132197e-01	1.096498e+01	4.289372e-02	-6.598390e-01	1.854545e+00
8.901950440201741e-04	7.365795e-01	1.091896e+01	5.815816e-02	-6.364793e-01	1.804468e+00
8.950778565201741e-04	7.605383e-01	1.086734e+01	7.521826e-02	-6.125205e-01	1.748911e+00
8.999606690201741e-04	7.850736e-01	1.081105e+01	9.377237e-02	-5.879852e-01	1.688815e+00
9.048434815201741e-04	8.101622e-01	1.075079e+01	1.135967e-01	-5.628965e-01	1.624880e+00
9.097262940201741e-04	8.357807e-01	1.068709e+01	1.345189e-01	-5.372781e-01	1.557647e+00
9.146091065201741e-04	8.619048e-01	1.062035e+01	1.564036e-01	-5.111539e-01	1.487540e+00
9.194919190201741e-04	8.885100e-01	1.055093e+01	1.791428e-01	-4.845487e-01	1.414897e+00
9.292575440201741e-04	9.430631e-01	1.040505e+01	2.268430e-01	-4.299957e-01	1.263079e+00
9.390231690201741e-04	9.992346e-01	1.025119e+01	2.770544e-01	-3.738242e-01	1.103970e+00
9.536716065201742e-04	1.086062e+00	1.000832e+01	3.561423e-01	-2.869964e-01	8.545871e-01
9.683200440201742e-04	1.175320e+00	9.754205e+00	4.387036e-01	-1.977392e-01	5.956468e-01
9.780856690201742e-04	1.235802e+00	9.580129e+00	4.951609e-01	-1.372571e-01	4.193200e-01
9.878512940201740e-04	1.296800e+00	9.403338e+00	5.524209e-01	-7.625847e-02	2.410663e-01
9.927341065201739e-04	1.327422e+00	9.314188e+00	5.812674e-01	-4.563710e-02	1.514804e-01
9.976169190201738e-04	1.358086e+00	9.224669e+00	6.102142e-01	-1.497278e-02	6.172504e-02
1.002499731520174e-03	1.388764e+00	9.134882e+00	6.392289e-01	1.570563e-02	-2.809912e-02
1.007382544020174e-03	1.419428e+00	9.044926e+00	6.682798e-01	4.636926e-02	-1.178935e-01
1.017148169020173e-03	1.480595e+00	8.864897e+00	7.263638e-01	1.075368e-01	-2.970031e-01
1.024821160091602e-03	1.528654e+00	8.722871e+00	7.721336e-01	1.555951e-01	-4.377345e-01
1.032494151163030e-03	1.576079e+00	8.582390e+00	8.173600e-01	2.030207e-01	-5.764504e-01
1.040167142234459e-03	1.622872e+00	8.443455e+00	8.620431e-01	2.498135e-01	-7.131508e-01
1.047840133305887e-03	1.669032e+00	8.306065e+00	9.061828e-01	2.959736e-01	-8.478358e-01
1.055513124377315e-03	1.714560e+00	8.170221e+00	9.497792e-01	3.415009e-01	-9.805054e-01
1.063186115448744e-03	1.759454e+00	8.035922e+00	9.928322e-01	3.863954e-01	-1.111160e+00
1.070859106520172e-03	1.803716e+00	7.903168e+00	1.035342e+00	4.306573e-01	-1.239798e+00
1.082019820805886e-03	1.866573e+00	7.714127e+00	1.095783e+00	4.935145e-01	-1.421981e+00
1.093180535091600e-03	1.926316e+00	7.534006e+00	1.153265e+00	5.532570e-01	-1.594465e+00
1.104341249377314e-03	1.982944e+00	7.362804e+00	1.207788e+00	6.098848e-01	-1.757250e+00
1.115501963663028e-03	2.036457e+00	7.200523e+00	1.259353e+00	6.633978e-01	-1.910336e+00
1.126662677948743e-03	2.086855e+00	7.047162e+00	1.307958e+00	7.137962e-01	-2.053723e+00
1.137823392234457e-03	2.134138e+00	6.902720e+00	1.353605e+00	7.610798e-01	-2.187412e+00
1.148984106520171e-03	2.178307e+00	6.767199e+00	1.396294e+00	8.052487e-01	-2.311401e+00
1.167120267234456e-03	2.241543e+00	6.571858e+00	1.457440e+00	8.684839e-01	-2.486216e+00
1.185256427948741e-03	2.292342e+00	6.413509e+00	1.506562e+00	9.192837e-01	-2.623522e+00
1.203392588663026e-03	2.330707e+00	6.292151e+00	1.543660e+00	9.576480e-01	-2.723317e+00
1.221528749377312e-03	2.356636e+00	6.207784e+00	1.568735e+00	9.835767e-01	-2.785603e+00
1.239664910091597e-03	2.370129e+00	6.160408e+00	1.581785e+00	9.970700e-01	-2.810378e+00
1.257801070805882e-03	2.371186e+00	6.150024e+00	1.582811e+00	9.981277e-01	-2.797644e+00
1.275937231520168e-03	2.359809e+00	6.176631e+00	1.571813e+00	9.867500e-01	-2.747399e+00
1.289888124377310e-03	2.341119e+00	6.227102e+00	1.553701e+00	9.680599e-01	-2.679407e+00
1.303839017234453e-03	2.315638e+00	6.298071e+00	1.529040e+00	9.425797e-01	-2.591729e+00
1.317789910091596e-03	2.283368e+00	6.389536e+00	1.497831e+00	9.103095e-01	-2.484364e+00
1.331740802948738e-03	2.244308e+00	6.501498e+00	1.460074e+00	8.712492e-01	-2.357312e+00
1.345691695805881e-03	2.198458e+00	6.633956e+00	1.415768e+00	8.253989e-01	-2.210574e+00
1.359642588663023e-03	2.145817e+00	6.786911e+00	1.364913e+00	7.727585e-01	-2.044149e+00
1.373593481520166e-03	2.086387e+00	6.960363e+00	1.307509e+00	7.133281e-01	-1.858037e+00
1.384056651163023e-03	2.038218e+00	7.101416e+00	1.261011e+00	6.651596e-01	-1.708431e+00
1.394519820805880e-03	1.987751e+00	7.249408e+00	1.212355e+00	6.146919e-01	-1.552687e+00
1.404982990448736e-03	1.934984e+00	7.404340e+00	1.161541e+00	5.619248e-01	-1.390804e+00
1.415446160091594e-03	1.879917e+00	7.566211e+00	1.108568e+00	5.068585e-01	-1.222782e+00
1.425909329734450e-03	1.822551e+00	7.735022e+00	1.053438e+00	4.494928e-01	-1.048622e+00
1.436372499377307e-03	1.762887e+00	7.910773e+00	9.961494e-01	3.898279e-01	-8.683226e-01
1.446835669020164e-03	1.700922e+00	8.093464e+00	9.367029e-01	3.278637e-01	-6.818849e-01
1.451718481520164e-03	1.671719e+00	8.179552e+00	9.087285e-01	2.986601e-01	-5.943797e-01
1.456601294020164e-03	1.642304e+00	8.266243e+00	8.805807e-01	2.692452e-01	-5.064686e-01
1.461484106520164e-03	1.612678e+00	8.353537e+00	8.522594e-01	2.396190e-01	-4.181515e-01
